time,gFx,gFy,gFz,TgF
223.525978821,-0.0117,-0.0200,1.0738,1.071
224.515949394,-0.0621,0.0264,0.9912,0.991
225.52066882,0.0327,-0.0059,0.9193,0.916
226.516788351,0.0049,-0.0337,1.0523,1.049
227.51725809,0.0235,-0.1124,0.9653,0.969
228.517697361,0.0420,-0.0396,0.9814,0.979
229.518485694,0.0308,-0.0352,0.9609,0.958
230.521804443,0.0029,0.0758,0.9712,0.970
231.519659339,-0.0254,0.0577,1.0137,1.012
232.520025797,-0.0841,0.1316,1.0655,1.074
233.520848296,0.0122,-0.0117,0.9687,0.965
234.520798296,-0.0122,-0.1076,0.9985,1.002
235.520604389,0.0171,-0.0826,0.9678,0.968
236.521562202,0.0235,-0.1095,1.0704,1.073
237.521366264,0.0684,0.0240,1.0191,1.017
238.521824805,0.0347,0.0602,1.0318,1.029
239.522198294,-0.0465,0.1946,0.9775,0.994
240.523454231,-0.0024,0.1105,0.9599,0.962
