time,gFx,gFy,gFz,TgF
167.832649884,-0.0288,0.2019,0.9966,1.013
168.833212436,0.0098,0.1677,0.9971,1.006
169.8338653,-0.0220,0.1706,0.9502,0.961
170.833607279,0.0029,0.1256,0.9369,0.941
171.83650858,0.0244,0.3461,0.9897,1.043
172.836773163,-0.0313,0.3090,1.1022,1.140
173.856527955,0.2278,0.1980,1.0587,1.092
174.849178631,0.0156,0.1824,1.0078,1.019
175.838238006,0.0708,0.1648,0.9345,0.945
176.840548683,0.0454,0.1408,0.9756,0.981
177.83856712,0.0596,0.1956,1.0582,1.072
178.839327588,0.0454,0.2499,0.9428,0.970
179.840392484,0.0366,0.2758,0.9306,0.965
180.840700244,0.0220,0.2249,0.9902,1.010
181.841358941,0.0015,0.2792,1.0264,1.058
182.84150717,0.0386,0.2528,0.7683,0.803
183.841943368,0.0718,0.2420,0.8582,0.888
184.842006023,0.0679,0.2000,1.0166,1.032
185.84198144,0.0191,0.2376,0.9477,0.972
186.841930971,0.0469,0.2073,0.9477,0.965
187.842148522,0.0376,0.2327,1.0015,1.023
188.843166855,0.0640,0.2210,1.0254,1.045
189.842863261,0.0630,0.2215,0.8968,0.919
190.844229875,0.0812,0.2400,1.0142,1.039
191.846981854,0.0327,0.2293,1.0142,1.035
192.847476385,0.0450,0.1941,0.9668,0.981
193.84764878,0.0249,0.2102,1.0391,1.055
194.847945551,0.0689,0.2092,0.9834,1.001
195.848158832,0.0513,0.2102,0.9159,0.935
196.848428206,0.0078,0.1995,0.9247,0.941
197.85094706,0.0552,0.2141,1.0479,1.065
198.849143518,0.0713,0.1985,1.0577,1.072
199.850107632,0.0836,0.1975,1.0753,1.090
200.862445288,0.0386,0.2083,0.7282,0.752
201.853404559,-0.0376,0.1853,1.0166,1.030
202.8560156,0.0059,0.2005,1.1251,1.138
203.859815235,-0.0049,0.1765,0.8284,0.842
204.873329922,0.0313,0.1843,0.9731,0.985
205.873516276,0.0469,0.1677,1.0641,1.073
206.85297039,0.0782,0.2029,0.9888,1.006
207.852354035,0.0484,0.2078,1.0729,1.088
208.85285117,-0.0059,0.1638,1.0366,1.045
209.852549556,0.0112,0.1931,0.8885,0.904
210.85259143,0.0288,0.1677,0.8656,0.877
211.852898409,0.0513,0.1809,0.7991,0.815
212.853213252,0.0244,0.1706,0.9653,0.975
213.854324085,0.0235,0.1506,0.9692,0.976
214.853847991,0.0147,0.1623,0.9829,0.991
215.854094449,0.0552,0.1565,1.0210,1.029
216.85527622,0.0635,0.1496,1.0523,1.059
217.855811063,0.0518,0.1291,0.8954,0.900
218.856848667,0.0259,0.1794,1.1066,1.116
219.857253406,0.0459,0.0944,1.0166,1.017
220.85834153,0.0088,0.0558,0.9658,0.963
221.859728822,0.0748,0.0836,0.9800,0.981
222.860032623,0.0733,0.0753,1.0249,1.025
223.860426686,0.0010,0.0460,1.1877,1.185
224.860240539,0.0572,0.1413,0.9198,0.927
225.860837727,0.0547,0.0519,0.9448,0.943
226.86061132,0.0435,0.1007,0.9839,0.985
227.861963507,0.0895,0.0768,1.0308,1.032
228.861464184,0.0410,0.0734,0.8744,0.873
229.861513037,0.0186,0.0631,0.9110,0.909
230.875381735,0.0635,0.1076,0.9188,0.922
231.864806526,0.0230,0.1276,1.0151,1.018
232.869407724,0.0269,0.1423,1.0778,1.082
233.883120171,0.0337,0.1022,1.0909,1.091
234.864076681,0.0386,0.0694,0.9638,0.962
235.863485327,0.0601,0.0743,0.9834,0.983
236.863780066,0.0464,0.0885,0.8363,0.837
237.864014024,0.0454,0.0870,0.9985,0.998
238.864263503,0.0601,0.1051,0.9971,0.999
239.864547669,0.0577,0.1785,1.0171,1.028
240.86484996,0.0454,0.2151,0.9741,0.993
241.86633397,0.0464,0.1545,1.0166,1.024
242.866290585,0.0244,0.1477,0.9951,1.001
243.866400636,0.0366,0.1750,0.9985,1.009
244.867409282,0.0537,0.1448,0.9164,0.924
245.868377511,0.0391,0.1584,0.9467,0.955
246.867542614,0.0327,0.1379,0.9917,0.997
247.868316312,0.0425,0.1575,1.0064,1.014
248.868955374,0.0352,0.1360,0.9193,0.925
249.869403551,0.0430,0.1242,0.9971,1.000
250.870619332,0.0401,0.1360,1.0142,1.019
251.869939696,0.0308,0.1565,0.9863,0.994
252.871551935,0.0303,0.1799,1.1095,1.119
253.874699122,0.0557,0.1076,0.9785,0.980
254.871045215,0.0787,0.0973,0.9985,1.001
255.886899903,0.0493,0.0841,1.0127,1.012
256.871229954,0.0557,0.0504,0.9467,0.945
257.872872662,0.0757,-0.0484,0.9266,0.926
258.871989693,0.0274,-0.2141,0.8905,0.914
259.872255943,0.0332,-0.1291,0.9345,0.941
260.872574328,0.0313,-0.0967,1.0083,1.010
261.872949692,-0.0279,-0.1237,1.0235,1.029
262.873645577,-0.1295,0.0357,0.9790,0.987
263.873555785,-0.1711,0.0924,0.9922,1.010
264.874806566,-0.1667,0.1207,0.9819,1.002
265.874340003,0.0122,-0.0880,0.4608,0.467
266.875254534,-0.0587,0.1428,1.1579,1.165
267.875927398,-0.0249,0.1838,0.9291,0.943
268.875433075,-0.0484,0.1198,0.9819,0.987
269.875636043,0.0469,0.1496,0.9775,0.984
270.87625698,0.0503,0.1565,1.0230,1.030
271.876668282,-0.0059,0.1882,0.9531,0.967
272.87704224,-0.0039,0.2415,0.5937,0.635
273.877401927,0.0156,0.2312,1.1882,1.205
274.877099947,-0.0587,0.2180,1.1736,1.191
275.878680676,0.0464,0.2039,1.0371,1.052
276.879042811,-0.1056,0.1012,0.4329,0.457
277.880696613,-0.0186,0.1516,0.9907,0.998
278.879129685,0.0142,0.1672,1.0381,1.047
279.882824164,0.0821,0.1868,0.9291,0.945
280.888881039,0.1852,0.1780,0.9936,1.018
281.882973591,0.0645,0.1193,0.9800,0.984
282.880988746,0.0944,0.1731,0.8802,0.895
283.880929111,0.0880,0.2239,1.0582,1.079
284.903914371,0.0861,0.2024,0.9946,1.012
285.904743537,0.1457,0.1355,0.9541,0.967
286.896306297,0.1374,0.1364,1.0279,1.039
287.882131922,0.0900,0.0914,0.9741,0.976
288.88590088,0.1036,0.1467,0.9164,0.927
289.886207598,0.1066,0.1555,0.9634,0.975
290.887520358,0.0420,0.0992,0.9458,0.947
291.887609212,0.0924,0.0304,0.9335,0.933
292.887195826,0.1134,0.1237,1.1139,1.120
293.88816093,0.1261,0.0538,0.9570,0.960
294.887902909,0.1623,0.0782,0.9839,0.993
295.888815512,0.0757,0.0387,0.9893,0.988
296.889112126,-0.1545,0.0533,1.0493,1.061
297.889091866,-0.0117,-0.0850,1.0807,1.081
298.88973598,0.1134,0.0323,0.9976,0.998
299.890023323,0.0963,0.0792,0.9687,0.971
303.343877332,0.0669,0.1325,0.9936,0.999
304.33616254,0.0547,0.1838,0.9863,0.999
305.356282123,-0.0073,0.2904,0.9340,0.973
306.356324467,-0.0758,0.1648,1.0068,1.020
307.345593998,-0.1002,0.1286,1.1388,1.148
308.370930664,-0.1300,0.1041,0.9829,0.995
309.338815872,-0.1354,0.2366,1.1349,1.164
