Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
359,0.37,1.31,10.12
360,0.21,1.48,9.56
361,1.14,2.74,7.06
362,0.38,1.53,9.69
363,0.11,1.45,10.05
364,0.49,1.39,9.23
365,0.12,0.76,10.19
366,0.34,1.71,9.07
367,0.58,1.72,9.66
368,0.82,1.73,9.24
369,0.53,1.31,9.30
370,0.53,1.65,9.19
371,0.63,1.12,9.56
372,0.60,1.39,9.06
373,0.91,1.27,10.43
374,0.72,1.77,7.70
375,0.37,1.74,9.33
376,0.27,1.46,8.48
377,0.07,0.84,10.03
378,0.93,0.99,9.89
379,0.88,1.28,9.54
380,0.74,1.16,9.36
381,0.45,1.15,9.66
382,1.04,1.15,10.15
383,0.83,0.94,9.92
384,0.71,0.93,8.30
385,1.05,1.53,9.30
386,0.93,0.97,10.67
387,1.85,0.55,9.68
388,1.37,0.94,10.97
389,1.22,1.00,10.47
390,1.41,0.93,9.41
391,1.22,0.99,9.99
392,-0.48,0.75,10.88
393,0.79,1.68,8.45
394,1.17,1.00,10.71
395,0.81,1.21,9.83
396,0.06,0.76,11.00
397,0.93,0.38,10.09
398,0.46,0.33,9.93
399,1.11,0.45,10.53
400,1.09,0.76,10.42
401,0.90,-0.99,9.29
402,0.63,-1.27,10.55
403,0.89,-2.04,11.75
404,0.56,-2.30,11.42
405,0.24,-1.26,9.23
406,1.38,-1.68,10.10
407,1.19,-1.62,10.79
408,1.23,-1.16,9.26
409,0.04,-1.20,12.63
410,1.55,0.40,9.08
411,1.13,1.39,10.32
412,1.67,0.32,10.56
413,1.29,0.70,8.22
414,-1.21,0.26,9.88
415,2.33,2.30,6.47
416,0.99,0.45,13.62
417,1.73,0.40,10.49
418,0.27,0.27,11.20
419,-0.74,2.69,7.75
420,1.60,1.21,9.29
421,-0.53,1.18,8.61
422,0.54,-0.60,9.99
423,1.99,-0.71,9.55
424,1.36,0.54,7.77
425,-1.67,-0.61,10.74
426,0.45,1.93,9.80
427,-0.25,1.64,8.33
