time,gFx,gFy,gFz,TgF
251.956126935,0.0249,0.0073,1.0010,0.997
252.955287924,0.0235,0.0059,1.0020,0.998
253.955611153,0.0249,0.0083,0.9990,0.995
254.955941205,0.0249,0.0078,1.0024,0.999
255.956935788,0.0244,0.0083,1.0015,0.998
256.95774136,0.0254,0.0073,1.0000,0.996
257.957895266,0.0239,0.0093,1.0015,0.998
258.958205057,0.0244,0.0088,1.0015,0.998
259.95940688,0.0259,0.0083,1.0015,0.998
260.959845942,0.0264,0.0073,1.0005,0.997
261.959785994,0.0244,0.0078,1.0010,0.997
262.960552816,0.0249,0.0083,1.0015,0.998
263.961351826,0.0249,0.0088,1.0029,0.999
264.961445524,0.0259,0.0083,1.0000,0.996
265.96195844,0.0264,0.0083,1.0015,0.998
266.962551981,0.0264,0.0093,1.0005,0.997
267.962926304,0.0239,0.0078,1.0034,1.000
268.963948699,0.0244,0.0093,1.0020,0.998
269.965322866,0.0244,0.0093,1.0010,0.997
270.974658803,0.0249,0.0088,1.0029,0.999
271.972050521,0.0249,0.0078,1.0005,0.997
272.968169583,0.0244,0.0088,1.0020,0.998
273.977651979,0.0225,0.0098,1.0000,0.996
274.980574114,0.0249,0.0088,0.9995,0.996
275.981162082,0.0244,0.0073,0.9990,0.995
276.969391196,0.0244,0.0088,1.0000,0.996
277.969767915,0.0239,0.0083,0.9995,0.996
278.969799945,0.0259,0.0073,0.9990,0.995
279.969425987,0.0244,0.0098,1.0015,0.998
280.970043851,0.0254,0.0083,1.0010,0.997
281.970342184,0.0259,0.0073,1.0020,0.998
282.971423329,0.0230,0.0073,1.0039,1.000
283.972008641,0.0205,0.0088,0.9995,0.996
284.971707287,0.0220,0.0078,1.0029,0.999
285.972103484,0.0230,0.0078,1.0020,0.998
286.972515099,0.0254,0.0093,1.0005,0.997
287.973039004,0.0249,0.0078,1.0005,0.997
288.973982129,0.0244,0.0098,1.0005,0.997
289.973825775,0.0249,0.0088,1.0010,0.997
290.974513014,0.0244,0.0078,1.0005,0.997
291.975244263,0.0239,0.0098,0.9995,0.996
292.97609468,0.0239,0.0088,1.0015,0.998
293.976564992,0.0239,0.0107,0.9985,0.995
294.97850796,0.0249,0.0098,1.0024,0.999
295.979698637,0.0269,0.0093,1.0015,0.998
296.985914209,0.0230,0.0078,0.9980,0.994
297.982586917,0.0225,0.0083,1.0020,0.998
298.997851448,0.0249,0.0093,1.0015,0.998
299.999336083,0.0235,0.0073,1.0000,0.996
300.981452229,0.0244,0.0064,1.0010,0.997
301.981713426,0.0239,0.0093,1.0000,0.996
302.982202228,0.0244,0.0088,0.9995,0.996
303.982344884,0.0239,0.0103,1.0020,0.998
304.983183113,0.0244,0.0093,1.0010,0.997
305.983306706,0.0230,0.0078,1.0020,0.998
306.983697018,0.0239,0.0098,1.0005,0.997
307.984204257,0.0244,0.0103,0.9966,0.993
308.984812017,0.0244,0.0068,1.0000,0.996
309.985078996,0.0235,0.0088,1.0044,1.001
310.985463892,0.0244,0.0078,1.0015,0.998
311.986530037,0.0254,0.0078,0.9976,0.994
312.98688113,0.0249,0.0107,1.0000,0.996
313.988018578,0.0322,0.0073,1.0024,0.999
314.987447588,0.0283,0.0068,1.0039,1.000
315.987810192,0.0239,0.0083,1.0000,0.996
316.988092795,0.0235,0.0083,1.0005,0.997
317.988609774,0.0230,0.0088,1.0010,0.997
318.990049253,0.0244,0.0083,1.0029,0.999
319.990277221,0.0254,0.0068,1.0029,0.999
321.002589617,0.0249,0.0093,1.0005,0.997
322.005173002,0.0259,0.0078,1.0024,0.999
322.991303158,0.0235,0.0078,1.0015,0.998
323.99095748,0.0254,0.0064,1.0010,0.997
324.991416282,0.0254,0.0088,1.0010,0.997
325.991711125,0.0235,0.0088,1.0000,0.996
326.9928355,0.0259,0.0098,0.9995,0.996
327.993187948,0.0249,0.0083,1.0005,0.997
328.993354666,0.0235,0.0088,1.0010,0.997
329.993732218,0.0249,0.0098,1.0034,1.000
330.99401779,0.0239,0.0093,0.9995,0.996
331.994912946,0.0254,0.0064,0.9990,0.995
332.9954768,0.0254,0.0083,1.0000,0.996
333.99542706,0.0244,0.0093,1.0010,0.997
334.995929195,0.0249,0.0073,1.0010,0.997
